A6NGU5	KAI3427914.1	40.459	566	275	19	43	566	130	675	2.46e-101	320
P36269	KAI3427914.1	33.392	569	326	15	46	584	130	675	1.56e-57	203
P19440	KAI3427914.1	41.593	565	271	16	43	567	130	675	1.38e-111	346
Q6P531	KAI3427914.1	33.051	118	63	3	112	213	138	255	5.78e-08	54.3
Q6P531	KAI3427914.1	34.118	85	49	3	318	395	442	526	0.028	35.8
Q9UJ14	KAI3427914.1	30.725	524	316	13	140	626	128	641	2.72e-48	179
P07314	KAI3427914.1	39.856	557	292	16	42	566	130	675	1.50e-107	336
Q0V8L2	KAI3427914.1	30.550	527	313	13	140	626	128	641	8.77e-49	180
Q9M0G0	KAI3427914.1	39.206	579	301	11	81	637	128	677	4.51e-119	368
Q9QWE9	KAI3427914.1	34.829	557	314	16	46	567	130	672	1.02e-63	220
P54422	KAI3427914.1	32.094	511	289	15	39	517	120	604	8.17e-59	207
Q680I5	KAI3427914.1	40.250	559	303	10	38	576	128	675	8.15e-127	386
Q6PDE7	KAI3427914.1	31.092	119	66	2	119	221	137	255	2.40e-08	55.5
P18956	KAI3427914.1	37.545	554	303	16	49	571	128	669	6.43e-87	282
Q60928	KAI3427914.1	39.279	555	298	15	42	566	130	675	1.45e-105	331
Q05902	KAI3427914.1	30.314	574	345	20	108	655	128	672	3.88e-55	198
Q8VYW6	KAI3427914.1	39.789	568	310	12	25	570	118	675	5.61e-123	376
Q99JP7	KAI3427914.1	30.740	527	312	13	140	626	128	641	6.61e-48	178
Q99MZ4	KAI3427914.1	30.534	524	317	13	140	626	128	641	1.84e-47	176
Q9Z2A9	KAI3427914.1	33.393	560	319	17	46	568	130	672	8.06e-63	218
Q9US04	KAI3427914.1	35.911	582	320	11	84	629	112	676	4.71e-106	334
D4B387	KAI3427914.1	34.050	558	326	11	44	575	128	669	9.26e-89	287
O14194	KAI3427914.1	34.542	579	344	12	61	610	104	676	5.51e-89	288
P20735	KAI3427914.1	41.786	560	277	16	42	566	130	675	1.87e-110	343
P63186	KAI3427914.1	32.094	511	289	15	39	517	120	604	4.74e-57	202
O05218	KAI3427914.1	26.690	562	344	16	11	521	129	673	4.30e-30	123
Q6IE08	KAI3427914.1	31.092	119	66	2	117	219	137	255	2.67e-08	55.1
A7YWM1	KAI3427914.1	28.906	128	75	3	106	217	128	255	1.43e-08	56.2
A7YWM1	KAI3427914.1	39.535	43	26	0	354	396	481	523	0.077	34.3
B8NM71	KAI3427914.1	33.456	544	313	17	36	547	115	641	4.45e-74	248
P74181	KAI3427914.1	27.148	582	316	19	7	514	128	675	1.53e-32	130
P15557	KAI3427914.1	33.216	569	311	18	25	544	128	676	3.98e-53	190
P36267	KAI3427914.1	34.503	513	284	14	33	513	125	617	9.80e-74	247
Q05053	KAI3427914.1	33.216	569	311	18	25	544	128	676	8.08e-54	192
Q9I406	KAI3427914.1	35.063	559	313	18	29	550	127	672	3.77e-68	231
